Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
46440,3:20-cv-00770-bbc                       ,20,bbc ,2020-08-20,,1 ,2021-05-21,864,42:0405id ,,,n,2020-08-20
46441,3:20-cv-00771-wmc                       ,20,wmc ,2020-08-20,,1 ,,446,42:12101  ,,,n,2020-08-20
46442,3:20-cv-00772-wmc                       ,20,wmc ,2020-08-21,,1 ,2021-07-30,791,29:1132   ,,,n,2020-08-21
46443,3:20-cv-00773-jdp                       ,20,jdp ,2020-08-21,,1 ,2021-06-21,864,42:0405id ,,,n,2020-08-21
46444,3:20-cv-00774-wmc                       ,20,wmc ,2020-08-21,,1 ,2022-02-04,440,42:1983cv ,,,n,2020-08-21
46445,3:20-cv-00775-jdp                       ,20,jdp ,2020-08-21,,1 ,2021-05-27,440,42:1983cv ,,,y,2020-08-21
46446,3:20-cv-00776-wmc                       ,20,wmc ,2020-08-21,,1 ,2021-01-26,446,42:12101  ,,,n,2020-08-21
46447,3:20-cv-00777-wmc                       ,20,wmc ,2020-08-21,,1 ,2021-02-22,446,42:12101  ,,,n,2020-08-21
46455,3:20-cv-00783-wmc                       ,20,wmc ,2020-08-21,,1 ,,510,28:2255   ,,,y,2020-08-21
46448,3:20-cv-00778-wmc                       ,20,wmc ,2020-08-23,,1 ,,446,42:12101  ,,,n,2020-08-23
46449,3:20-cv-00779-jdp                       ,20,jdp ,2020-08-24,,1 ,2020-10-13,190,28:1332oc ,1,2,n,2020-08-24
46450,3:20-cv-00780-jdp                       ,20,jdp ,2020-08-24,,1 ,2021-01-11,440,42:1983cv ,,,y,2020-08-24
46452,3:20-cv-00781-wmc                       ,20,wmc ,2020-08-24,,1 ,2021-04-27,865,42:0405id ,,,n,2020-08-24
46453,3:20-cv-00782-jdp                       ,20,jdp ,2020-08-25,,1 ,2021-07-15,864,42:0405id ,,,n,2020-08-25
46458,3:20-cv-00784-wmc                       ,20,wmc ,2020-08-26,,1 ,2023-02-03,550,42:1983pr ,,,y,2020-08-26
46459,3:20-cv-00785-wmc                       ,20,wmc ,2020-08-26,,1 ,2020-09-10,550,42:1983pr ,,,y,2020-08-26
46460,3:20-cv-00786-wmc                       ,20,wmc ,2020-08-26,,1 ,2020-09-10,550,42:1983pr ,,,y,2020-08-26
46461,3:20-cv-00787-bbc                       ,20,bbc ,2020-08-27,,1 ,2021-05-19,865,42:0427   ,,,n,2020-08-27
46462,3:20-cv-00788-jdp                       ,20,jdp ,2020-08-27,,1 ,2021-07-22,864,42:0405id ,,,n,2020-08-27
46463,3:20-cv-00789-jdp                       ,20,jdp ,2020-08-27,,1 ,2020-10-15,550,42:1983pr ,,,y,2020-08-27
46464,3:20-cv-00790-wmc                       ,20,wmc ,2020-08-27,,1 ,,550,42:1983pr ,,,y,2020-08-27
46465,3:20-cv-00791-wmc                       ,20,wmc ,2020-08-27,,1 ,,446,42:12101  ,,,n,2020-08-27
46468,3:20-cv-00792-jdp                       ,20,jdp ,2020-08-27,,1 ,2022-06-07,625,21:0881   ,,,y,2020-08-27
46469,3:20-cv-00793-jdp                       ,20,jdp ,2020-08-27,,1 ,2023-05-23,625,21:0881   ,,,y,2020-08-27
46470,3:20-cv-00794-wmc                       ,20,wmc ,2020-08-27,,1 ,2020-10-07,480,15:1692   ,,,n,2020-08-27
46472,3:20-cv-00795-jdp                       ,20,jdp ,2020-08-28,,1 ,2020-09-28,550,42:1983pr ,,,y,2020-08-28
46473,3:20-cv-00796-wmc                       ,20,wmc ,2020-08-28,,1 ,2021-10-15,820,17:0101   ,,,n,2020-08-28
