Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
47757,3:21-cv-00375-wmc                       ,21,wmc ,2021-06-04,2023-01-18,4 ,2023-03-29,550,42:1983pr ,,,y,2023-01-18
47757,3:21-cv-00375-wmc                       ,21,wmc ,2021-06-04,2023-01-18,4 ,2023-03-29,550,42:1983pr ,,,y,2023-01-18
47758,3:21-cv-00374-wmc                       ,21,wmc ,2021-06-04,2023-01-18,4 ,2023-03-28,550,42:1983pr ,,,y,2023-01-18
47758,3:21-cv-00374-wmc                       ,21,wmc ,2021-06-04,2023-01-18,4 ,2023-03-28,550,42:1983pr ,,,y,2023-01-18
47759,3:21-cv-00377-wmc                       ,21,wmc ,2021-06-07,,1 ,2022-06-02,530,28:2241   ,,,y,2021-06-07
47760,3:21-cv-00378-wmc                       ,21,wmc ,2021-06-07,,1 ,2022-08-02,196,28:1332jd ,5,1,n,2021-06-07
47761,3:21-cv-00379-jdp                       ,21,jdp ,2021-06-07,,1 ,2023-04-05,863,42:0405wc ,,,n,2021-06-07
47762,3:21-cv-00380-slc                       ,21,slc ,2021-06-07,,1 ,2021-10-15,480,15:1681   ,,,n,2021-06-07
47763,3:21-cv-00381-jdp                       ,21,jdp ,2021-06-07,,1 ,2022-09-14,550,42:1983pr ,,,y,2021-06-07
47765,3:21-cv-00382-bbc                       ,21,bbc ,2021-06-07,,1 ,2021-10-06,530,28:2254   ,,,y,2021-06-07
47764,3:21-cv-00383-slc                       ,21,slc ,2021-06-08,,1 ,2022-03-11,890,misc      ,,,n,2021-06-08
47766,3:21-cv-00384-wmc                       ,21,wmc ,2021-06-09,,1 ,2023-01-13,330,45:0051   ,,,n,2021-06-09
47768,3:21-cv-00385-bbc                       ,21,bbc ,2021-06-09,,1 ,2022-05-19,440,42:1983pr ,,,n,2021-06-09
47769,3:21-cv-00386-jdp                       ,21,jdp ,2021-06-09,,1 ,2022-06-01,550,42:1983pr ,,,y,2021-06-09
47772,3:21-cv-00387-wmc                       ,21,wmc ,2021-06-09,,1 ,2021-10-25,890,28:1331   ,,,n,2021-06-09
47778,3:21-cv-00388-wmc                       ,21,wmc ,2021-06-10,,1 ,2022-02-09,865,42:0405id ,,,n,2021-06-10
47779,3:21-cv-00389-jdp                       ,21,jdp ,2021-06-11,,1 ,2022-02-10,440,42:1983cv ,,,y,2021-06-11
47780,3:21-cv-00390-jdp                       ,21,jdp ,2021-06-11,,1 ,2022-11-22,790,28:0451   ,,,n,2021-06-11
47782,3:21-cv-00391-bbc                       ,21,bbc ,2021-06-11,,1 ,2022-04-28,440,28:1983   ,,,n,2021-06-11
47783,3:21-cv-00392-wmc                       ,21,wmc ,2021-06-14,,1 ,2022-09-08,440,42:1983cv ,,,n,2021-06-14
47784,3:21-cv-00393-wmc                       ,21,wmc ,2021-06-14,,1 ,,442,38:4311-13,,,y,2021-06-14
47785,3:21-cv-00394-wmc                       ,21,wmc ,2021-06-15,,1 ,2022-04-19,360,28:1331   ,,,n,2021-06-15
47786,3:21-cv-00395-wmc                       ,21,wmc ,2021-06-16,,2 ,2022-10-05,360,28:1332pi ,1,5,n,2021-06-16
47792,3:21-cv-00396-jdp                       ,21,jdp ,2021-06-16,,1 ,2022-10-03,550,42:1983pr ,,,y,2021-06-16
47798,3:21-cv-00397-jdp                       ,21,jdp ,2021-06-17,,1 ,2023-03-20,864,42:0405id ,,,n,2021-06-17
47799,3:21-cv-00398-jdp                       ,21,jdp ,2021-06-17,,1 ,2021-11-03,550,42:1983pr ,,,y,2021-06-17
47800,3:21-cv-00399-jdp                       ,21,jdp ,2021-06-17,,1 ,2021-10-21,550,42:1983pr ,,,y,2021-06-17
47801,3:21-cv-00400-slc                       ,21,slc ,2021-06-17,,1 ,2022-04-05,864,42:0405id ,,,n,2021-06-17
47808,3:21-cv-00401-jdp                       ,21,jdp ,2021-06-18,,1 ,2022-10-06,440,28:1331cv ,,,n,2021-06-18
47809,3:21-cv-00403-bbc                       ,21,bbc ,2021-06-21,,1 ,2021-08-18,462,08:1447   ,,,n,2021-06-21
47810,3:21-cv-00402-wmc                       ,21,wmc ,2021-06-21,,1 ,2023-04-20,550,42:1983pr ,,,y,2021-06-21
47811,3:21-cv-00404-jdp                       ,21,jdp ,2021-06-22,,5 ,2022-09-23,190,28:1441pr ,4,5,n,2021-06-22
47812,3:21-cv-00405-wmc                       ,21,wmc ,2021-06-22,,1 ,,550,42:1983pr ,,,y,2021-06-22
47813,3:21-cv-00406-wmc                       ,21,wmc ,2021-06-22,,1 ,2021-10-06,480,15:1692   ,,,n,2021-06-22
47814,3:21-cv-00407-wmc                       ,21,wmc ,2021-06-22,,1 ,2021-07-16,365,28:1332pi ,1,5,n,2021-06-22
47819,3:21-cv-00408-jdp                       ,21,jdp ,2021-06-22,,1 ,2021-12-07,190,28:1332oc ,4,2,n,2021-06-22
47822,3:21-cv-00409-jdp                       ,21,jdp ,2021-06-22,,1 ,2022-09-09,440,42:1983cv ,,,n,2021-06-22
47823,3:21-cv-00410-slc                       ,21,slc ,2021-06-23,,1 ,2021-07-07,367,28:1332pl ,1,5,n,2021-06-23
47824,3:21-cv-00411-wmc                       ,21,wmc ,2021-06-23,,1 ,2023-06-01,890,15:1692   ,,,n,2021-06-23
47825,3:21-cv-00412-wmc                       ,21,wmc ,2021-06-23,,1 ,,550,42:1983pr ,,,y,2021-06-23
47830,3:21-cv-00413-wmc                       ,21,wmc ,2021-06-24,,1 ,2022-08-31,550,42:1983pr ,,,y,2021-06-24
47831,3:21-cv-00414-jdp                       ,21,jdp ,2021-06-24,,1 ,2022-05-24,710,28:1331fl ,,,n,2021-06-24
47832,3:21-cv-00415-bbc                       ,21,bbc ,2021-06-25,,1 ,2022-03-14,863,42:0405wc ,,,n,2021-06-25
47833,3:21-cv-00416-jdp                       ,21,jdp ,2021-06-25,,1 ,2021-11-30,791,29:1132   ,,,n,2021-06-25
