Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
48050,3:21-cv-00518-jdp                       ,21,jdp ,2021-08-17,,1 ,2022-07-01,330,28:2671   ,,,n,2021-08-17
48052,3:21-cv-00520-jdp                       ,21,jdp ,2021-08-17,,1 ,2023-03-03,555,42:1983pr ,,,n,2021-08-17
48053,3:21-cv-00521-jdp                       ,21,jdp ,2021-08-18,,2 ,2021-08-20,360,28:1332pr ,4,2,y,2021-08-18
48054,3:21-cv-00523-wmc                       ,21,wmc ,2021-08-18,,1 ,2023-05-17,330,45:0151   ,,,n,2021-08-18
48057,3:21-cv-00524-wmc                       ,21,wmc ,2021-08-18,,1 ,2021-09-22,480,15:1681   ,,,n,2021-08-18
48060,3:21-cv-00526-slc                       ,21,slc ,2021-08-18,,1 ,2022-03-07,865,42:0405id ,,,n,2021-08-18
48061,3:21-cv-00522-jdp                       ,21,jdp ,2021-08-18,,1 ,2021-08-20,190,28:1332pr ,1,5,y,2021-08-18
48062,3:21-cv-00527-jdp                       ,21,jdp ,2021-08-18,,1 ,2023-03-20,864,42:0405id ,,,n,2021-08-18
48058,3:21-cv-00525-wmc                       ,21,wmc ,2021-08-18,,5 ,2021-09-29,360,misc      ,,,n,2021-08-18
48072,3:21-cv-00528-bbc                       ,21,bbc ,2021-08-19,,1 ,2021-10-06,530,28:2241   ,,,y,2021-08-19
48073,3:21-cv-00529-jdp                       ,21,jdp ,2021-08-20,,1 ,,440,42:1983cv ,,,y,2021-08-20
48074,3:21-cv-00530-jdp                       ,21,jdp ,2021-08-20,,1 ,2022-05-06,440,42:1983pr ,,,y,2021-08-20
48075,3:21-cv-00531-wmc                       ,21,wmc ,2021-08-20,,1 ,2022-06-29,880,18:1836a  ,,,n,2021-08-20
48076,3:21-cv-00533-jdp                       ,21,jdp ,2021-08-23,,1 ,2021-09-29,550,42:1983pr ,,,y,2021-08-23
48077,3:21-cv-00534-jdp-ajs-eec               ,21,jdp ,2021-08-23,,1 ,2022-05-05,400,28:1983   ,,,n,2021-08-23
48078,3:21-cv-00535-jdp                       ,21,jdp ,2021-08-23,,1 ,2022-12-12,440,42:1983cv ,,,n,2021-08-23
48079,3:21-cv-00536-wmc                       ,21,wmc ,2021-08-23,,1 ,2022-04-07,550,42:1983pr ,,,y,2021-08-23
48080,3:21-cv-00537-wmc                       ,21,wmc ,2021-08-23,,1 ,2022-03-23,440,42:1983cv ,,,y,2021-08-23
48081,3:21-cv-00532-jdp                       ,21,jdp ,2021-08-23,,1 ,2021-08-24,190,28:1332bc ,5,1,y,2021-08-23
48082,3:21-cv-00519-slc                       ,21,slc ,2021-08-24,,1 ,2023-01-20,864,42:0405id ,,,n,2021-08-24
48083,3:21-cv-00539-jdp                       ,21,jdp ,2021-08-24,,1 ,2021-12-06,380,28:1346tc ,,,n,2021-08-24
48084,3:21-cv-00538-wmc                       ,21,wmc ,2021-08-24,,1 ,2022-02-10,550,42:1983pr ,,,y,2021-08-24
48085,3:21-cv-00540-wmc                       ,21,wmc ,2021-08-24,,1 ,2022-04-25,710,29:0201fl ,,,n,2021-08-24
48086,3:21-cv-00541-wmc                       ,21,wmc ,2021-08-24,,1 ,2022-05-18,375,31:3730   ,,,n,2021-08-24
48089,3:21-cv-00542-jdp                       ,21,jdp ,2021-08-25,,1 ,2022-01-21,840,15:1114   ,,,n,2021-08-25
48090,3:21-cv-00543-slc                       ,21,slc ,2021-08-25,,1 ,2022-05-31,864,42:0405id ,,,n,2021-08-25
48091,3:21-cv-00544-wmc                       ,21,wmc ,2021-08-26,,1 ,2021-12-03,710,42:2000e  ,,,n,2021-08-26
48094,3:21-cv-00545-jdp                       ,21,jdp ,2021-08-26,,1 ,,550,42:1983pr ,,,y,2021-08-26
48095,3:21-cv-00546-jdp                       ,21,jdp ,2021-08-26,,1 ,2022-07-13,440,42:1983cv ,,,y,2021-08-26
48096,3:21-cv-00547-jdp                       ,21,jdp ,2021-08-26,,1 ,2022-07-13,440,42:1983cv ,,,y,2021-08-26
48097,3:21-cv-00548-jdp                       ,21,jdp ,2021-08-27,,1 ,2022-09-28,791,29:1132   ,,,n,2021-08-27
48098,3:21-cv-00549-jdp                       ,21,jdp ,2021-08-27,,1 ,2022-10-31,442,29:0791   ,,,n,2021-08-27
48099,3:21-cv-00550-jdp                       ,21,jdp ,2021-08-27,,1 ,2023-02-10,820,17:0101   ,,,n,2021-08-27
48100,3:21-cv-00551-jdp                       ,21,jdp ,2021-08-27,,1 ,2022-01-12,190,28:1332oc ,2,1,n,2021-08-27
48111,3:21-cv-00553-wmc                       ,21,wmc ,2021-08-31,,2 ,2022-01-06,110,28:1332in ,1,5,n,2021-08-31
48112,3:21-cv-00554-wmc                       ,21,wmc ,2021-09-01,,1 ,2022-03-02,480,15:1692   ,,,n,2021-09-01
48126,3:21-cv-00555-jdp                       ,21,jdp ,2021-09-02,,1 ,,440,42:1983cv ,,,y,2021-09-02
48128,3:21-cv-00556-wmc                       ,21,wmc ,2021-09-03,,1 ,2022-03-07,791,29:1132   ,,,n,2021-09-03
48129,3:21-cv-00557-wmc                       ,21,wmc ,2021-09-03,,1 ,2023-04-12,625,21:0881   ,,,y,2021-09-03
48131,3:21-cv-00558-jdp                       ,21,jdp ,2021-09-07,,1 ,2021-11-02,550,42:1983pr ,,,y,2021-09-07
48132,3:21-cv-00559-wmc                       ,21,wmc ,2021-09-07,,1 ,,864,42:0405id ,,,n,2021-09-07
48133,3:21-cv-00560-wmc                       ,21,wmc ,2021-09-07,,1 ,,446,42:1983cv ,,,n,2021-09-07
48134,3:21-cv-00561-wmc                       ,21,wmc ,2021-09-07,,1 ,2022-09-09,350,28:1346tc ,,,n,2021-09-07
48135,3:21-cv-00562-jdp                       ,21,jdp ,2021-09-08,,1 ,,550,42:1983pr ,,,y,2021-09-08
48138,3:21-cv-00563-wmc                       ,21,wmc ,2021-09-08,,1 ,2021-12-10,465,28:1651mn ,,,n,2021-09-08
48139,3:21-cv-00564-jdp                       ,21,jdp ,2021-09-09,,1 ,2022-09-14,864,42:0405id ,,,n,2021-09-09
48140,3:21-cv-00565-wmc                       ,21,wmc ,2021-09-09,,1 ,,440,42:1983cv ,,,n,2021-09-09
48145,3:21-cv-00566-slc                       ,21,slc ,2021-09-10,,1 ,2021-12-17,380,28:1346tc ,,,n,2021-09-10
48146,3:21-cv-00567-wmc                       ,21,wmc ,2021-09-10,,1 ,2021-10-27,550,42:1983pr ,,,y,2021-09-10
48147,3:21-cv-00568-wmc                       ,21,wmc ,2021-09-10,,1 ,2021-10-27,550,42:1983pr ,,,y,2021-09-10
48148,3:21-cv-00569-slc                       ,21,slc ,2021-09-10,,1 ,2022-03-15,864,42:0405id ,,,n,2021-09-10
48154,3:21-cv-00570-wmc                       ,21,wmc ,2021-09-13,,1 ,2022-09-29,864,42:0405id ,,,y,2021-09-13
48155,3:21-cv-00571-jdp                       ,21,jdp ,2021-09-13,,1 ,2023-02-21,365,28:1332pl ,1,5,n,2021-09-13
48158,3:21-cv-00572-wmc                       ,21,wmc ,2021-09-13,,1 ,2022-03-24,480,15:1681   ,,,n,2021-09-13
48162,3:21-cv-00573-jdp                       ,21,jdp ,2021-09-13,,1 ,2021-10-14,550,42:1983pr ,,,y,2021-09-13
48163,3:21-cv-00574-wmc                       ,21,wmc ,2021-09-13,,1 ,,550,42:1983pr ,,,y,2021-09-13
48164,3:21-cv-00576-jdp                       ,21,jdp ,2021-09-13,,1 ,2021-12-20,710,29:0201do ,,,n,2021-09-13
48165,3:21-cv-00575-wmc                       ,21,wmc ,2021-09-13,,1 ,,550,42:1983pr ,,,n,2021-09-13
48167,3:21-cv-00578-wmc                       ,21,wmc ,2021-09-13,,1 ,2021-11-24,510,28:2255   ,,,y,2021-09-13
48166,3:21-cv-00577-jdp                       ,21,jdp ,2021-09-14,,1 ,2022-01-11,710,29:0206   ,,,n,2021-09-14
48168,3:21-cv-00579-jdp                       ,21,jdp ,2021-09-14,,1 ,2022-06-08,442,42:2000e  ,,,n,2021-09-14
48169,3:21-cv-00580-jdp                       ,21,jdp ,2021-09-14,,1 ,,791,29:1132   ,,,n,2021-09-14
48170,3:21-cv-00581-wmc                       ,21,wmc ,2021-09-15,,2 ,2021-10-06,195,28:1441pl ,,,n,2021-09-15
48171,3:21-cv-00582-bbc                       ,21,bbc ,2021-09-15,,1 ,2021-11-12,550,42:1983pr ,,,y,2021-09-15
48172,3:21-cv-00583-slc                       ,21,slc ,2021-09-15,,2 ,2022-11-09,110,28:1332bc ,1,5,n,2021-09-15
48173,3:21-cv-00584-jdp                       ,21,jdp ,2021-09-15,,1 ,2022-03-17,480,15:1681   ,,,n,2021-09-15
48177,3:21-cv-00585-wmc                       ,21,wmc ,2021-09-16,,1 ,2022-03-14,445,42:12101  ,,,n,2021-09-16
48178,3:21-cv-00586-jdp                       ,21,jdp ,2021-09-16,,1 ,2022-06-27,791,29:1132   ,,,n,2021-09-16
