Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg,Group
48277,3:21-cv-00638-wmc                       ,wmc ,2021-10-08,,2021-11-15,550,42:1983pr ,,,y,2021-10-08,Prisoner Petitions
48279,3:21-cv-00640-wmc                       ,wmc ,2021-10-08,,2022-01-06,560,42:1983cv ,,,y,2021-10-08,Prisoner Petitions
48276,3:21-cv-00637-wmc                       ,wmc ,2021-10-11,,2022-03-15,440,42:1983cv ,,,n,2021-10-11,Civil Rights
48278,3:21-cv-00639-jdp                       ,jdp ,2021-10-12,,2021-12-16,380,28:1346tc ,,,n,2021-10-12,Personal Property
48282,3:21-cv-00642-jdp                       ,jdp ,2021-10-12,,2023-02-17,442,42:2000sx ,,,n,2021-10-12,Civil Rights
48283,3:21-cv-00643-wmc                       ,wmc ,2021-10-13,,,530,28:2254   ,,,y,2021-10-13,Habeas Corpus
48288,3:21-cv-00644-slc                       ,slc ,2021-10-13,,2022-01-04,480,15:1681   ,,,n,2021-10-13,Other Statutes
48291,3:21-cv-00645-jdp                       ,jdp ,2021-10-13,,2022-01-27,550,42:1983pr ,,,y,2021-10-13,Prisoner Petitions
48298,3:21-cv-00646-jdp                       ,jdp ,2021-10-14,,2022-01-07,840,15:1114   ,,,n,2021-10-14,Property Rights
48299,3:21-cv-00647-jdp                       ,jdp ,2021-10-14,,2022-03-08,791,29:1132   ,,,n,2021-10-14,Labor
48300,3:21-cv-00648-jdp                       ,jdp ,2021-10-14,,2022-06-21,480,15:1681   ,,,n,2021-10-14,Other Statutes
48301,3:21-cv-00649-jdp                       ,jdp ,2021-10-14,,2023-04-26,863,42:0405wc ,,,n,2021-10-14,Social Security
48302,3:21-cv-00650-jdp                       ,jdp ,2021-10-15,2022-12-07,,440,42:1983cv ,,,y,2022-12-07,Civil Rights
48302,3:21-cv-00650-jdp                       ,jdp ,2021-10-15,2022-12-07,,440,42:1983cv ,,,y,2022-12-07,Civil Rights
48302,3:21-cv-00650-jdp                       ,jdp ,2021-10-15,2022-12-07,,440,42:1983cv ,,,y,2022-12-07,Civil Rights
48305,3:21-cv-00652-wmc                       ,wmc ,2021-10-15,,2021-11-15,480,12:1821   ,,,n,2021-10-15,Other Statutes
48306,3:21-cv-00653-jdp                       ,jdp ,2021-10-15,,2022-10-24,190,28:1332bc ,5,1,n,2021-10-15,Contract
48307,3:21-cv-00651-jdp                       ,jdp ,2021-10-15,,2023-03-29,550,42:1983pr ,,,y,2021-10-15,Prisoner Petitions
48308,3:21-cv-00654-jdp                       ,jdp ,2021-10-15,,2021-11-08,555,42:1983cv ,,,y,2021-10-15,Prisoner Petitions
48309,3:21-cv-00655-wmc                       ,wmc ,2021-10-15,,2021-11-18,380,28:1332pd ,5,5,n,2021-10-15,Personal Property
48310,3:21-cv-00657-wmc                       ,wmc ,2021-10-18,,,840,15:1125   ,,,n,2021-10-18,Property Rights
48315,3:21-cv-00658-jdp                       ,jdp ,2021-10-18,,2023-03-09,530,28:2254   ,,,y,2021-10-18,Habeas Corpus
48318,3:21-cv-00659-jdp                       ,jdp ,2021-10-18,,,530,28:2254   ,,,y,2021-10-18,Habeas Corpus
48319,3:21-cv-00660-jdp                       ,jdp ,2021-10-19,,2022-06-28,791,29:1362   ,,,n,2021-10-19,Labor
48320,3:21-cv-00661-wmc                       ,wmc ,2021-10-19,,2022-12-12,360,28:1332pi ,1,5,n,2021-10-19,Torts/Personal Injury
48321,3:21-cv-00656-jdp                       ,jdp ,2021-10-19,,2023-03-13,550,42:1983pr ,,,y,2021-10-19,Prisoner Petitions
48322,3:21-cv-00662-wmc                       ,wmc ,2021-10-19,,2022-04-08,710,29:0201do ,,,n,2021-10-19,Labor
48323,3:21-cv-00663-slc                       ,slc ,2021-10-20,,2021-12-23,480,15:1681   ,,,n,2021-10-20,Other Statutes
48330,3:21-cv-00664-wmc                       ,wmc ,2021-10-21,,,550,42:1983pr ,,,n,2021-10-21,Prisoner Petitions
48331,3:21-cv-00665-jdp                       ,jdp ,2021-10-21,,2023-03-15,550,42:1983pr ,,,y,2021-10-21,Prisoner Petitions
48332,3:21-cv-00666-jdp                       ,jdp ,2021-10-21,,2022-07-07,791,29:1132   ,,,n,2021-10-21,Labor
48333,3:21-cv-00667-jdp                       ,jdp ,2021-10-22,,2022-03-27,365,28:1332pi ,1,5,n,2021-10-22,Torts/Personal Injury
48336,3:21-cv-00669-jdp                       ,jdp ,2021-10-22,,2022-01-25,550,42:1983pr ,,,y,2021-10-22,Prisoner Petitions
48337,3:21-cv-00668-wmc                       ,wmc ,2021-10-22,,2022-03-21,485,47:227    ,,,y,2021-10-22,
48340,3:21-cv-00672-wmc                       ,wmc ,2021-10-22,,2022-04-20,510,28:2255   ,,,y,2021-10-22,Habeas Corpus
48338,3:21-cv-00670-jdp                       ,jdp ,2021-10-25,,2023-03-20,190,28:1332ac ,5,4,n,2021-10-25,Contract
48339,3:21-cv-00671-wmc                       ,wmc ,2021-10-25,,2022-10-06,791,29:1132   ,,,n,2021-10-25,Labor
48347,3:21-cv-00673-slc                       ,slc ,2021-10-25,,2023-01-10,360,28:1332pi ,2,1,n,2021-10-25,Torts/Personal Injury
48348,3:21-cv-00674-jdp                       ,jdp ,2021-10-26,,2021-12-03,550,42:1983pr ,,,y,2021-10-26,Prisoner Petitions
48349,3:21-cv-00675-wmc                       ,wmc ,2021-10-26,,2021-12-29,480,15:1692   ,,,n,2021-10-26,Other Statutes
48350,3:21-cv-00676-jdp                       ,jdp ,2021-10-26,,,440,42:1983cv ,,,n,2021-10-26,Civil Rights
48351,3:21-cv-00677-jdp                       ,jdp ,2021-10-26,,2022-08-19,365,28:1332pl ,2,1,n,2021-10-26,Torts/Personal Injury
48352,3:21-cv-00678-jdp                       ,jdp ,2021-10-27,,2022-02-01,367,21:0880   ,,,n,2021-10-27,Torts/Personal Injury
48353,3:21-cv-00679-wmc                       ,wmc ,2021-10-27,,,550,42:1983cv ,,,y,2021-10-27,Prisoner Petitions
48354,3:21-cv-00680-jdp                       ,jdp ,2021-10-27,,2023-03-28,480,15:1681   ,,,n,2021-10-27,Other Statutes
48364,3:21-cv-00681-wmc                       ,wmc ,2021-10-28,,2023-04-10,550,42:1983pr ,,,y,2021-10-28,Prisoner Petitions
48367,3:21-cv-00682-wmc                       ,wmc ,2021-10-29,,2022-07-08,625,21:0881   ,,,n,2021-10-29,Forfeiture/Penalty 
48368,3:21-cv-00683-jdp                       ,jdp ,2021-10-29,,,440,42:1983cv ,,,n,2021-10-29,Civil Rights
48369,3:21-cv-00685-jdp                       ,jdp ,2021-11-01,,2022-01-14,550,42:1983pr ,,,y,2021-11-01,Prisoner Petitions
48370,3:21-cv-00686-jdp                       ,jdp ,2021-11-01,,2022-04-04,480,15:1692   ,,,y,2021-11-01,Other Statutes
48371,3:21-cv-00687-jdp                       ,jdp ,2021-11-01,,2022-04-04,480,15:1692   ,,,y,2021-11-01,Other Statutes
48372,3:21-cv-00684-wmc                       ,wmc ,2021-11-01,,,550,42:1983pr ,,,y,2021-11-01,Prisoner Petitions
48373,3:21-cv-00688-jdp                       ,jdp ,2021-11-01,,2022-07-15,440,42:1983cv ,,,n,2021-11-01,Civil Rights
48375,3:21-cv-00689-jdp                       ,jdp ,2021-11-02,,2022-03-14,840,15:1051   ,,,n,2021-11-02,Property Rights
48382,3:21-cv-00690-wmc                       ,wmc ,2021-11-02,,2023-01-20,330,45:0051   ,,,n,2021-11-02,Torts/Personal Injury
