Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,DateAgg,Group,DE SeqNum,de_type,DocNum,DP Type,DP SubType,DP SeqNum,Date Filed
41456,3:18-cv-00182-jdp                       ,jdp,2018-03-14,,2018-03-27,550,2018-03-14,Prisoner Petitions,13,cmp                      ,1,cmp                      ,cmp     ,14,2018-03-14
41457,3:18-cv-00184-bbc                       ,bbc,2018-03-14,,2018-10-24,555,2018-03-14,Prisoner Petitions,22,cmp                      ,1,cmp                      ,cmp     ,23,2018-03-14
41458,3:18-cv-00183-wmc                       ,wmc,2018-03-14,,2022-09-23,550,2018-03-14,Prisoner Petitions,8,cmp                      ,1,cmp                      ,cmp     ,9,2018-03-14
41464,3:18-cv-00189-slc                       ,slc,2018-03-16,,2021-04-20,555,2018-03-16,Prisoner Petitions,33,cmp                      ,2,cmp                      ,cmp     ,34,2018-03-16
41468,3:18-cv-00190-wmc                       ,wmc,2018-03-16,,2018-11-27,555,2018-03-16,Prisoner Petitions,6,cmp                      ,1,cmp                      ,cmp     ,7,2018-03-16
41473,3:18-cv-00194-wmc                       ,wmc,2018-03-19,,2021-01-05,555,2018-03-19,Prisoner Petitions,15,cmp                      ,1,cmp                      ,cmp     ,16,2018-03-19
41474,3:18-cv-00193-wmc                       ,wmc,2018-03-19,,2019-09-26,550,2018-03-19,Prisoner Petitions,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-03-19
41475,3:18-cv-00195-wmc                       ,wmc,2018-03-19,,2022-03-22,550,2018-03-19,Prisoner Petitions,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-03-19
41481,3:18-cv-00196-bbc                       ,bbc,2018-03-20,,2018-04-05,440,2018-03-20,Civil Rights,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-03-20
41483,3:18-cv-00200-wmc                       ,wmc,2018-03-21,,2018-10-22,555,2018-03-21,Prisoner Petitions,14,cmp                      ,1,cmp                      ,cmp     ,15,2018-03-21
41493,3:18-cv-00205-bbc                       ,bbc,2018-03-23,,2018-07-30,550,2018-03-23,Prisoner Petitions,11,cmp                      ,1,cmp                      ,cmp     ,12,2018-03-23
41496,3:18-cv-00206-wmc                       ,wmc,2018-03-23,,2018-06-25,864,2018-03-23,Social Security,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-03-23
41499,3:18-cv-00208-bbc                       ,bbc,2018-03-23,,2019-09-10,550,2018-03-23,Prisoner Petitions,14,cmp                      ,1,cmp                      ,cmp     ,15,2018-03-23
41501,3:18-cv-00211-jdp                       ,jdp,2018-03-26,,2018-05-02,550,2018-03-26,Prisoner Petitions,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-03-26
41502,3:18-cv-00209-wmc                       ,wmc,2018-03-26,,2019-05-14,440,2018-03-26,Civil Rights,6,cmp                      ,1,cmp                      ,cmp     ,7,2018-03-26
41505,3:18-cv-00214-jdp                       ,jdp,2018-03-27,,2018-09-18,864,2018-03-27,Social Security,6,cmp                      ,1,cmp                      ,cmp     ,7,2018-03-27
41509,3:18-cv-00217-wmc                       ,wmc,2018-03-28,,2018-11-26,555,2018-03-28,Prisoner Petitions,8,cmp                      ,1,cmp                      ,cmp     ,9,2018-03-28
41513,3:18-cv-00221-slc                       ,slc,2018-03-28,,2018-09-26,480,2018-03-28,Other Statutes,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-03-28
41542,3:18-cv-00224-jdp                       ,jdp,2018-03-29,,2019-02-15,555,2018-03-29,Prisoner Petitions,22,cmp                      ,1,cmp                      ,cmp     ,23,2018-03-29
41544,3:18-cv-00227-wmc                       ,wmc,2018-03-30,,2019-01-04,555,2018-03-30,Prisoner Petitions,5,cmp                      ,1,cmp                      ,cmp     ,6,2018-03-30
41545,3:18-cv-00226-bbc                       ,bbc,2018-03-30,,2018-06-01,445,2018-03-30,Civil Rights,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-03-30
41549,3:18-cv-00232-bbc                       ,bbc,2018-04-02,,2018-05-02,550,2018-04-02,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-04-02
41550,3:18-cv-00231-jdp                       ,jdp,2018-04-02,,2019-02-21,440,2018-04-02,Civil Rights,31,cmp                      ,1,cmp                      ,cmp     ,32,2018-04-02
41559,3:18-cv-00235-wmc                       ,wmc,2018-04-04,,2019-09-25,791,2018-04-04,Labor,6,cmp                      ,1,cmp                      ,cmp     ,7,2018-04-04
41575,3:18-cv-00240-wmc                       ,wmc,2018-04-06,,2019-05-29,550,2018-04-06,Prisoner Petitions,24,cmp                      ,1,cmp                      ,cmp     ,25,2018-04-06
