Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg,Group
41875,3:18-cv-00396-jdp                       ,jdp ,2018-05-23,,2020-02-25,550,28:1331b  ,,,y,2018-05-23,Prisoner Petitions
41876,3:18-cv-00397-jdp                       ,jdp ,2018-05-24,,2018-12-18,555,42:1983pr ,,,y,2018-05-24,Prisoner Petitions
41877,3:18-cv-00398-jdp                       ,jdp ,2018-05-24,2018-10-31,2018-12-18,555,42:1983pr ,,,y,2018-10-31,Prisoner Petitions
41877,3:18-cv-00398-jdp                       ,jdp ,2018-05-24,2018-10-31,2018-12-18,555,42:1983pr ,,,y,2018-10-31,Prisoner Petitions
41878,3:18-cv-00399-jdp                       ,jdp ,2018-05-24,,2018-12-18,550,42:1983pr ,,,y,2018-05-24,Prisoner Petitions
41886,3:18-cv-00403-bbc                       ,bbc ,2018-05-25,,2019-11-08,530,28:2254   ,,,y,2018-05-25,Habeas Corpus
41896,3:18-cv-00411-wmc                       ,wmc ,2018-05-29,,2019-11-22,550,42:1983pr ,,,y,2018-05-29,Prisoner Petitions
41897,3:18-cv-00408-wmc                       ,wmc ,2018-05-29,,2021-11-23,530,28:2241   ,,,y,2018-05-29,Habeas Corpus
41901,3:18-cv-00412-bbc                       ,bbc ,2018-05-29,,2019-10-24,550,42:1983pr ,,,y,2018-05-29,Prisoner Petitions
41926,3:18-cv-00417-bbc                       ,bbc ,2018-05-31,2018-10-17,2019-10-30,190,28:1331   ,,,y,2018-10-17,Contract
41926,3:18-cv-00417-bbc                       ,bbc ,2018-05-31,2018-10-17,2019-10-30,190,28:1331   ,,,y,2018-10-17,Contract
41940,3:18-cv-00422-bbc                       ,bbc ,2018-06-01,,2019-12-11,550,42:1983pr ,,,y,2018-06-01,Prisoner Petitions
41954,3:18-cv-00432-jdp                       ,jdp ,2018-06-05,,2018-07-31,555,42:1983pr ,,,y,2018-06-05,Prisoner Petitions
41957,3:18-cv-00434-jdp                       ,jdp ,2018-06-05,,2018-08-14,530,28:2254   ,,,y,2018-06-05,Habeas Corpus
41962,3:18-cv-00435-wmc                       ,wmc ,2018-06-05,,2020-12-14,555,42:1983pr ,,,y,2018-06-05,Prisoner Petitions
41964,3:18-cv-00437-jdp                       ,jdp ,2018-06-06,,2018-07-16,550,42:1983pr ,,,y,2018-06-06,Prisoner Petitions
41970,3:18-cv-00439-jdp                       ,jdp ,2018-06-07,,2018-07-09,530,28:2241   ,,,y,2018-06-07,Habeas Corpus
41973,3:18-cv-00442-bbc                       ,bbc ,2018-06-08,,2018-08-21,550,42:1983pr ,,,y,2018-06-08,Prisoner Petitions
41974,3:18-cv-00441-wmc                       ,wmc ,2018-06-08,,2022-09-30,550,42:1983pr ,,,y,2018-06-08,Prisoner Petitions
41981,3:18-cv-00446-jdp                       ,jdp ,2018-06-11,,2020-02-21,550,42:1983pr ,,,y,2018-06-11,Prisoner Petitions
41982,3:18-cv-00448-wmc                       ,wmc ,2018-06-11,,2020-02-28,555,42:1983pr ,,,y,2018-06-11,Prisoner Petitions
